Date,Open,High,Low,Close,Volume,Adj Close,,Question 2,Question 3,Question 4
12/3/2001,17.63,19.97,17.6,19.05,7328100,8.91,,,,2.113842968
1/2/2002,19.11,23.88,19,23.77,10734400,11.11,,,,2.187174241
2/1/2002,23.85,23.85,20.82,23.01,6469400,10.76,,,,2.407845604
3/1/2002,23.56,24.53,22.35,23.13,6709500,10.81,,,,2.375835555
4/1/2002,23.07,25.7,22.64,22.82,7910900,10.67,,,,2.380471632
5/1/2002,22.85,24.5,21.93,24.28,8507600,11.35,,,,2.367436065
6/3/2002,24.3,25.3,22.44,24.85,9265500,11.62,,,,2.429217744
7/1/2002,24.42,24.96,18.44,19.63,11228600,9.18,,,,2.452727751
8/1/2002,19.52,21.82,18.47,20.1,7705600,9.4,,,,2.217027205
9/3/2002,19.99,21.57,19.6,20.66,7485100,9.66,,,,2.240709689
10/1/2002,20.66,24.1,20.66,23.84,9692200,11.14,,,,2.267993648
11/1/2002,24.05,24.16,20.85,21.74,7750700,10.16,,,,2.410542234
12/2/2002,22,22.09,20.18,20.38,6944100,9.53,,,,2.318458442
1/2/2003,20.47,23.3,19.62,22.72,8963600,10.62,,,,2.254444718
2/3/2003,22.67,23.52,21.6,23.45,8353500,10.96,,,,2.362739016
3/3/2003,23.62,26.52,22.2,25.76,9391900,12.04,,,,2.394252282
4/1/2003,25.81,26.87,23.35,23.51,10588300,10.99,,,,2.48823444
5/1/2003,23.42,24.83,22.8,24.67,9829400,11.53,,,,2.396985768
6/2/2003,24.56,25.46,23.75,24.55,7069500,11.48,,,,2.444952334
7/1/2003,24.95,27.77,24.78,27.33,8161600,12.78,,,,2.440606391
8/1/2003,27.4,28.53,26,28.39,5088200,13.27,,,,2.547881449
9/2/2003,28.09,30.95,28.06,28.8,7880600,13.46,,,,2.585505848
10/1/2003,29.04,32,28.8,31.6,5073600,14.77,,,,2.599722324
11/3/2003,31.36,33.05,30,32.17,5819000,15.04,,,,2.692598097
12/1/2003,32.08,33.43,31.42,33.16,4838700,15.5,,,,2.710713319
1/2/2004,33.45,36.81,32.9,36.61,7217800,17.11,,,,2.740840024
2/2/2004,36.82,39.68,36,37.4,7621800,17.48,,,,2.839663088
3/1/2004,37.89,38.74,36.51,37.87,6473300,17.7,,,,2.86105737
4/1/2004,38.14,39.91,36.74,38.92,5974400,18.19,,,,2.87356464
5/3/2004,38.82,41.2,37.03,40.6,6205400,18.98,,,,2.900871993
6/1/2004,40.7,44.4,40.62,43.49,6077200,20.33,,,,2.943385793
7/1/2004,44.65,48.4,44.02,46.99,7604900,21.97,,,,3.012097628
8/2/2004,46.87,47.13,42.05,43.24,7669800,20.21,,,,3.089677886
9/1/2004,42.99,46.29,42.79,45.46,5226800,21.25,,,,3.006177531
10/1/2004,45.97,53.25,45.29,52.88,7314000,24.72,,,,3.056356895
11/1/2004,52.92,57,52.6,56.26,6063200,26.3,,,,3.207612633
12/1/2004,56.33,64.26,56.29,62.36,6022800,29.15,,,,3.269568939
1/3/2005,63.29,63.34,52.1,54,12119800,25.24,,,,3.372454913
2/1/2005,54.16,54.98,49.14,51.81,8706700,24.22,,,,3.228430038
3/1/2005,51.89,55.59,50.72,51.66,6383600,24.15,,,,3.187178738
4/1/2005,52.23,52.38,44.58,49.52,10609100,23.15,,,,3.18428438
5/2/2005,49.9,55.72,49.2,54.79,6564900,25.61,,,,3.141994781
6/1/2005,54.92,56.9,51.52,51.66,5501900,24.15,,,,3.2429829
7/1/2005,51.73,54.39,49.28,52.55,7140300,24.57,,,,3.18428438
8/1/2005,52.55,52.77,48,49.03,5057900,22.92,,,,3.201526187
9/1/2005,49.8,50.16,46.01,50.1,6704000,23.42,,,,3.132009892
10/3/2005,50.31,55.25,26.87,28.28,7031700,26.44,,,,3.153590358
11/1/2005,28.3,32,28.07,30.45,5806900,28.47,,,,3.274878015
12/1/2005,30.34,32.46,29.94,30.01,4481200,28.06,,,,3.348850901
1/3/2006,30.57,32.32,29.9,31.7,4410800,29.64,,,,3.334345075
2/1/2006,31.28,36.87,31.14,36.32,6791500,33.96,,,,3.3891248
3/1/2006,36.33,38.11,34.73,37.63,5098600,35.18,,,,3.525183361
4/3/2006,37.98,39.5,36.77,37.27,5459000,34.85,,,,3.560477739
5/1/2006,37.63,39.88,34.6,35.65,7918100,33.33,,,,3.551053137
6/1/2006,35.49,38.02,34.91,37.76,6046900,35.3,,,,3.506457892
7/3/2006,37.96,38.33,32.93,34.23,7994100,32,,,,3.563882964
8/1/2006,33.99,33.99,28.72,31.01,11989600,28.99,,,,3.465735903
9/1/2006,31.61,35.04,30.53,34.05,8194200,31.84,,,,3.366950943
10/2/2006,34.15,39.5,33.61,37.75,8627800,35.3,,,,3.460723361
11/1/2006,37.99,40.01,35.16,35.29,8192600,33,,,,3.563882964
12/1/2006,35.25,37.14,34.9,35.42,5455800,33.12,,,,3.496507561
1/3/2007,35.6,36.61,33.49,34.94,8635100,32.67,,,,3.50013733
2/1/2007,35.13,35.42,30.24,30.9,10784200,28.89,,,,3.486457226
3/1/2007,30.2,32.45,28.86,31.36,12966000,29.32,,,,3.363495514
4/2/2007,31.54,32.3,30.3,31.02,9228800,29,,,,3.378269877
5/1/2007,31.16,31.9,28.03,28.81,15132000,26.94,,,,3.36729583
6/1/2007,28.8,29.15,25.22,26.24,18001300,24.53,,,,3.293612171
7/2/2007,26.4,28.5,25.63,26.68,16492900,24.95,,,,3.199896858
8/1/2007,26.51,28.6,26.03,27.55,12381800,25.76,,,,3.216873822
9/4/2007,27.67,28.19,25.95,26.2,11225900,24.5,,,,3.248822901
10/1/2007,26.27,26.92,25.63,26.68,9327000,24.95,,,,3.198673118
11/1/2007,26.4,26.68,21.77,23.39,20240200,21.87,,,,3.216873822
12/3/2007,23.23,23.43,19.89,20.47,12201200,19.14,,,,3.085115835
1/2/2008,20.14,21.01,17.66,18.91,24534800,17.68,,,,2.951780386
2/1/2008,18.97,19.35,17.75,17.98,13260300,16.81,,,,2.872434057
3/3/2008,18.02,18.5,16.77,17.5,15459300,16.36,,,,2.821973947
,,,,,,,,,,2.794839331
